iter	Logloss
0	0.6855821609
1	0.6780080062
2	0.6702056298
3	0.6628089318
4	0.6558946463
5	0.6488187496
6	0.6412845025
7	0.6341696519
8	0.6273724483
9	0.6197616137
10	0.6139073739
11	0.6080060372
12	0.6021663592
13	0.595924891
14	0.5905258472
15	0.5845652727
16	0.5790397937
17	0.5730670049
18	0.5674309364
19	0.5631572283
20	0.5581286504
21	0.5530132881
22	0.5482928936
23	0.5436319204
24	0.5388183594
25	0.5341662994
26	0.5292081833
27	0.524406213
28	0.5200073902
29	0.5154516514
30	0.5107979041
31	0.5066041946
32	0.5024917309
33	0.4983661725
34	0.4941194608
35	0.4903574723
36	0.4864065464
37	0.4824076432
38	0.4788249456
39	0.4747783588
40	0.4710503725
41	0.4680439876
42	0.4643031634
43	0.460971979
44	0.4575094076
45	0.4535906865
46	0.4506984491
47	0.4477356397
48	0.4444674345
49	0.4418266003
50	0.4388550978
51	0.4358784969
52	0.4329130099
53	0.4307911946
54	0.4283098808
55	0.4252518507
56	0.4229611617
57	0.4206950848
58	0.4178778575
59	0.4153498136
60	0.4126984156
61	0.4099292022
62	0.4071688652
63	0.4044486559
64	0.4023331862
65	0.4001679054
66	0.3979872924
67	0.3956411435
68	0.3932956916
69	0.3910090373
70	0.3884408657
71	0.3860545892
72	0.3838451826
73	0.3818341035
74	0.3793490483
75	0.3771850146
76	0.3751392365
77	0.3731613893
78	0.3713092804
79	0.3690917675
80	0.3669977188
81	0.3648400673
82	0.363285945
83	0.3615110471
84	0.3597857402
85	0.358085559
86	0.3564805618
87	0.3549200205
88	0.3531949704
89	0.3516895954
90	0.3502234312
91	0.3484871204
92	0.3473188694
93	0.3455750025
94	0.3439631829
95	0.3426479193
96	0.3411322007
97	0.3396495672
98	0.3386000487
99	0.3370381869
100	0.3358390148
101	0.3346397693
102	0.3334856767
103	0.3321759884
104	0.3306484956
105	0.3293125446
106	0.3279245083
107	0.3267791088
108	0.3255897669
109	0.3243428744
110	0.3228074221
111	0.3215832343
112	0.3203648787
113	0.3193499492
114	0.3182654381
115	0.3169885782
116	0.3159456253
117	0.3148710544
118	0.3137820317
119	0.3128896126
120	0.3118051382
121	0.3107796816
122	0.3097452751
123	0.3088282072
124	0.3080485417
125	0.3070803055
126	0.3062548637
127	0.3052275181
128	0.303827891
129	0.3030909025
130	0.3022239575
131	0.3012769039
132	0.3003242199
133	0.2994407874
134	0.298511285
135	0.2974200982
136	0.296423692
137	0.2951791837
138	0.2943267089
139	0.2936689487
140	0.2927248295
141	0.2918714743
142	0.2911356963
143	0.2900921015
144	0.2892934176
145	0.2884864074
146	0.2877229177
147	0.286851993
148	0.285830241
149	0.2851557548
150	0.2844205269
151	0.2834633314
152	0.28281619
153	0.2818287336
154	0.2811953471
155	0.2802754182
156	0.2795751828
157	0.2789806769
158	0.278306741
159	0.2773794394
160	0.2763442993
161	0.2758319745
162	0.2755404619
163	0.2747451709
164	0.2743196487
165	0.2735478511
166	0.2728924018
167	0.272019643
168	0.2713755094
169	0.2704953414
170	0.2699294457
171	0.2694640893
172	0.2686279003
173	0.2677662923
174	0.2670760888
175	0.2664226018
176	0.2660674315
177	0.2656498506
178	0.2651416705
179	0.2645154733
180	0.2641741312
181	0.2636182675
182	0.2632795481
183	0.2626730662
184	0.2622663975
185	0.2618682935
186	0.2613048737
187	0.2608622771
188	0.2604689598
189	0.2601933296
190	0.259819801
191	0.2592329429
192	0.2585577598
193	0.2578132703
194	0.2575316613
195	0.2570125506
196	0.2565176304
197	0.2559731007
198	0.2555302106
199	0.2553398242
200	0.2548216673
201	0.2542861608
202	0.2537958989
203	0.2533725225
204	0.2529201141
205	0.252573967
206	0.252151801
207	0.2516928086
208	0.2512216201
209	0.2507638564
210	0.2503708693
211	0.2499355903
212	0.2493451742
213	0.2489051452
214	0.2482414612
215	0.2477809833
216	0.2473263741
217	0.2467807623
218	0.2464275544
219	0.2461179403
220	0.2453620801
221	0.2450685868
222	0.2441083468
223	0.2434576842
224	0.2430225886
225	0.2426459239
226	0.2422692226
227	0.2417167333
228	0.2411767336
229	0.2409220475
230	0.2405791466
231	0.2400900767
232	0.2397699539
233	0.239443889
234	0.2390242173
235	0.2388603137
236	0.2384205965
237	0.2382037456
238	0.2376549794
239	0.2372265229
240	0.2369023837
241	0.2365325414
242	0.2359736516
243	0.2356868891
244	0.2352031744
245	0.2348328187
246	0.2343982183
247	0.2339133483
248	0.2333734952
249	0.2329992881
250	0.2326561304
251	0.2323616101
252	0.2319137867
253	0.2316244382
254	0.2312199152
255	0.2308932084
256	0.2306726529
257	0.2304102641
258	0.2299134915
259	0.2297470203
260	0.2291781352
261	0.228729193
262	0.2284604586
263	0.2281093231
264	0.2277105038
265	0.2274224025
266	0.2271947127
267	0.2267862833
268	0.2266211877
269	0.2262943891
270	0.2260012443
271	0.225460566
272	0.2250317243
273	0.224569394
274	0.2244064808
275	0.2241494105
276	0.2237074925
277	0.2232217055
278	0.2230036259
279	0.2226238618
280	0.2222966414
281	0.2218678915
282	0.2215478237
283	0.2210605695
284	0.2208166856
285	0.2205476027
286	0.2201802364
287	0.2199291449
288	0.2194502537
289	0.2192854881
290	0.2187907696
291	0.2184337836
292	0.2181379245
293	0.2178981488
294	0.2175640693
295	0.2170293881
296	0.2168235412
297	0.2162685761
298	0.2160252424
299	0.2156472573
300	0.2154491681
301	0.2151780495
302	0.214778515
303	0.2145565657
304	0.2141451652
305	0.2138684713
306	0.2135098347
307	0.2132894443
308	0.2128320841
309	0.2124141913
310	0.2121958366
311	0.2118540727
312	0.2114219299
313	0.2110515008
314	0.210870266
315	0.2103881286
316	0.2102172925
317	0.2100635125
318	0.2099021398
319	0.2097023084
320	0.2094720144
321	0.2091315526
322	0.2088893744
323	0.2083438727
324	0.2081084618
325	0.2078398558
326	0.2074568455
327	0.2072616357
328	0.2070232171
329	0.2068097775
330	0.2065145052
331	0.2061517239
332	0.2058577904
333	0.2056311461
334	0.2053364974
335	0.2050664058
336	0.2048454101
337	0.2046477611
338	0.2042756447
339	0.203939768
340	0.203651795
341	0.2033881958
342	0.2031683005
343	0.2029863137
344	0.2028113512
345	0.2021971116
346	0.2019325403
347	0.2016078509
348	0.2013225922
349	0.2011163602
350	0.2008532377
351	0.2006905996
352	0.2005675389
353	0.2003246821
354	0.2000850898
355	0.199911301
356	0.1997087552
357	0.1994178479
358	0.1990137467
359	0.1986232721
360	0.1984541233
361	0.1982593903
362	0.1980462258
363	0.1977276068
364	0.1974632923
365	0.1971806013
366	0.1969245947
367	0.1967841845
368	0.1965969526
369	0.1963378466
370	0.1961073875
371	0.1959371567
372	0.1957475956
373	0.1955093971
374	0.195227678
375	0.1951533097
376	0.1947811934
377	0.1944786952
378	0.1941878612
379	0.1937144169
380	0.1936125572
381	0.1932339118
382	0.1930828461
383	0.19277657
384	0.1924879184
385	0.1923087927
386	0.191803382
387	0.1916368558
388	0.1912474816
389	0.1908858373
390	0.1906479322
391	0.190493602
392	0.1901283264
393	0.1898447917
394	0.1893871564
395	0.1892714317
396	0.1890507661
397	0.1888394356
398	0.1885159566
399	0.188147985
400	0.1879449991
401	0.1877511098
402	0.1875964678
403	0.1873332537
404	0.1872320909
405	0.1870657114
406	0.1868969844
407	0.1867771149
408	0.1866467182
409	0.1862221314
410	0.1860622626
411	0.1858732884
412	0.1855206123
413	0.1853515918
414	0.185114237
415	0.1850173657
416	0.1849124432
417	0.1846354008
418	0.1844797318
419	0.1843329576
420	0.1841583252
421	0.1839765402
422	0.1837635774
423	0.1836275688
424	0.1834280307
425	0.1832221471
426	0.1831084765
427	0.1828236763
428	0.1826914274
429	0.182561856
430	0.1822250623
431	0.1820810575
432	0.181828939
433	0.1817722871
434	0.1815527036
435	0.1813644262
436	0.1810818085
437	0.1808311756
438	0.1806802016
439	0.1802697915
440	0.1799045343
441	0.1796840888
442	0.1795731691
443	0.1793704033
444	0.1791207424
445	0.1788775004
446	0.1785798806
447	0.1783768947
448	0.1780824478
449	0.1777461125
450	0.1776014108
451	0.1774142705
452	0.1772041504
453	0.1770135806
454	0.1769010104
455	0.1766766218
456	0.1766059215
457	0.1764612198
458	0.1762403341
459	0.1760111222
460	0.175882963
461	0.1756150723
462	0.1754432458
463	0.1751964642
464	0.1749434471
465	0.1749030994
466	0.1748396984
467	0.1747076328
468	0.1744705714
469	0.1742448807
470	0.1740629856
471	0.173840321
472	0.1737067516
473	0.1734564671
474	0.1733328563
475	0.1731012418
476	0.1729625188
477	0.1727472085
478	0.1725161626
479	0.172361759
480	0.1722699495
481	0.1720717137
482	0.1720295686
483	0.1718462247
484	0.1715687238
485	0.171429249
486	0.171218707
487	0.1710364268
488	0.1709346588
489	0.1708356784
490	0.170651986
491	0.1704768034
492	0.1702830791
493	0.1699457902
494	0.1698110654
495	0.1695831739
496	0.1693463326
497	0.1691657213
498	0.1689604612
499	0.1688200694
500	0.1686914151
501	0.1684234876
502	0.168264279
503	0.1681326719
504	0.1679897859
505	0.167753293
506	0.1675572579
507	0.1673685037
508	0.1671233544
509	0.1669164804
510	0.1667050215
511	0.1665700766
512	0.1664082454
513	0.1662997099
514	0.1660738725
515	0.1658886579
516	0.1655463622
517	0.1654102252
518	0.1652828363
519	0.1651698993
520	0.1650388057
521	0.1648373971
522	0.1646417838
523	0.1643703167
524	0.1642668064
525	0.1641202707
526	0.1639745235
527	0.163840679
528	0.1637158027
529	0.1634280131
530	0.1633004775
531	0.1630753004
532	0.1628559186
533	0.1626114662
534	0.1624303964
535	0.1622749475
536	0.1619755855
537	0.1618942297
538	0.1618033556
539	0.1616938114
540	0.1613958616
541	0.1611214601
542	0.1610560784
543	0.1608819045
544	0.1607634104
545	0.1605025071
546	0.1602391463
547	0.1600386179
548	0.1599598298
549	0.1597773112
550	0.1596011749
551	0.1594549693
552	0.159349845
553	0.1592212824
554	0.159115828
555	0.1589396917
556	0.1587902949
557	0.1586275834
558	0.1584870265
559	0.1582749073
560	0.1580367639
561	0.1579526388
562	0.1577082047
563	0.1576140844
564	0.1574595525
565	0.1572808669
566	0.1571246661
567	0.1569902163
568	0.156885954
569	0.1567503306
570	0.156639631
571	0.1564287406
572	0.1562954279
573	0.1561513314
574	0.1560373306
575	0.1559424584
576	0.1558514192
577	0.1557142368
578	0.1555734781
579	0.1554876107
580	0.1554000561
581	0.1551359617
582	0.1549966885
583	0.1548465765
584	0.1547492284
585	0.1545709096
586	0.1544544147
587	0.154275344
588	0.154150376
589	0.1539987784
590	0.1538240451
591	0.1535099836
592	0.1534154507
593	0.1533684364
594	0.1533269607
595	0.1531719978
596	0.1530125783
597	0.1528699581
598	0.1526119067
599	0.152501849
600	0.1523418702
601	0.1522284654
602	0.1521398379
603	0.1519227578
604	0.1517090247
605	0.1516189483
606	0.1515739239
607	0.1513859309
608	0.1512455207
609	0.1510665233
610	0.1508980806
611	0.1507537365
612	0.1506890884
613	0.1506200295
614	0.1505150795
615	0.150358521
616	0.1502462992
617	0.1501795329
618	0.1498774932
619	0.1497208155
620	0.1495829912
621	0.1494591053
622	0.1493094976
623	0.1491127564
624	0.1489948218
625	0.1487417588
626	0.1485276956
627	0.1483216469
628	0.148236018
629	0.1480910044
630	0.1478694677
631	0.1477319094
632	0.1475725357
633	0.1474790206
634	0.147424056
635	0.1472676901
636	0.1471334604
637	0.1470155349
638	0.1469244774
639	0.1467247193
640	0.1466016678
641	0.1463717772
642	0.1462048567
643	0.1459197815
644	0.1458853575
645	0.145672358
646	0.1455794848
647	0.1453756736
648	0.1451984919
649	0.1450576782
650	0.1449794219
651	0.1448636238
652	0.1448130791
653	0.1447319893
654	0.144533946
655	0.1444640526
656	0.1443169667
657	0.1441470201
658	0.1440239778
659	0.1438833383
660	0.1437217456
661	0.1435192732
662	0.143433039
663	0.1433093731
664	0.1432531247
665	0.1430769517
666	0.1428482349
667	0.142532798
668	0.1424233272
669	0.142323604
670	0.1421484305
671	0.1420332652
672	0.14195124
673	0.1419303509
674	0.1417405789
675	0.14163418
676	0.1413867749
677	0.1412919851
678	0.1411034511
679	0.1409135598
680	0.1408006136
681	0.140654729
682	0.140554153
683	0.140468304
684	0.1403373572
685	0.1402622003
686	0.1401977539
687	0.1400700899
688	0.139964874
689	0.1398609418
690	0.139669455
691	0.1394033891
692	0.1393600794
693	0.1391624304
694	0.1390922895
695	0.1390217726
696	0.1389187299
697	0.1388767316
698	0.1387261427
699	0.1386602108
700	0.138547338
701	0.1384404164
702	0.1383200517
703	0.1382460227
704	0.1382051431
705	0.1380545634
706	0.1378909808
707	0.1377486724
708	0.1376272807
709	0.1374419744
710	0.1373104866
711	0.1372046012
712	0.1371350197
713	0.1370975696
714	0.1369710152
715	0.1368367305
716	0.1367680293
717	0.136579917
718	0.13653238
719	0.1363660189
720	0.136258538
721	0.1361525426
722	0.1360200735
723	0.1358654499
