iter	Passed	Remaining
0	1	1640
1	3	1498
2	4	1434
3	5	1413
4	6	1388
5	8	1371
6	9	1361
7	10	1352
8	12	1346
9	13	1338
10	14	1334
11	16	1329
12	17	1325
13	18	1320
14	20	1315
15	21	1310
16	22	1306
17	23	1302
18	25	1299
19	26	1298
20	27	1293
21	29	1290
22	30	1292
23	31	1292
24	33	1290
25	34	1287
26	35	1284
27	36	1282
28	38	1280
29	39	1278
30	40	1278
31	42	1275
32	43	1274
33	44	1273
34	46	1273
35	47	1271
36	48	1267
37	49	1264
38	51	1263
39	52	1261
40	53	1261
41	55	1259
42	56	1258
43	57	1256
44	59	1253
45	60	1254
46	61	1254
47	63	1252
48	64	1250
49	65	1248
50	67	1247
51	68	1245
52	69	1244
53	70	1243
54	72	1243
55	73	1242
56	75	1242
57	76	1244
58	78	1244
59	79	1243
60	80	1242
61	82	1241
62	83	1240
63	84	1241
64	86	1240
65	87	1240
66	89	1239
67	90	1239
68	92	1241
69	93	1242
70	94	1241
71	96	1240
72	97	1241
73	99	1241
74	100	1240
75	101	1239
76	103	1240
77	104	1238
78	106	1238
79	107	1238
80	109	1237
81	110	1237
82	111	1236
83	113	1235
84	114	1235
85	116	1234
86	117	1233
87	118	1232
88	120	1231
89	121	1231
90	123	1230
91	124	1229
92	126	1229
93	127	1228
94	128	1227
95	130	1226
96	131	1225
97	133	1224
98	134	1221
99	135	1220
100	137	1219
101	138	1219
102	140	1219
103	141	1218
104	142	1217
105	144	1216
106	145	1216
107	147	1215
108	148	1214
109	149	1213
110	151	1211
111	152	1212
112	154	1211
113	155	1211
114	157	1211
115	158	1211
116	160	1211
117	162	1211
118	163	1210
119	164	1209
120	166	1209
121	168	1209
122	169	1208
123	171	1208
124	172	1208
125	174	1208
126	175	1209
127	177	1209
128	179	1209
129	180	1209
130	182	1209
131	184	1210
132	185	1209
133	187	1210
134	188	1210
135	190	1210
136	192	1210
137	193	1210
138	195	1210
139	197	1216
140	199	1218
141	201	1218
142	203	1218
143	204	1217
144	206	1216
145	207	1216
146	209	1215
147	210	1214
148	212	1213
149	214	1214
150	215	1214
151	217	1214
152	219	1213
153	220	1213
154	222	1213
155	224	1212
156	225	1211
157	227	1211
158	229	1211
159	230	1212
160	232	1211
161	234	1210
162	235	1207
163	236	1206
164	238	1205
165	239	1205
166	241	1204
167	243	1203
168	244	1203
169	246	1204
170	248	1204
171	249	1203
172	251	1202
173	253	1202
174	254	1201
175	256	1201
176	258	1200
177	259	1200
178	261	1199
179	263	1199
180	264	1198
181	266	1197
182	268	1197
183	270	1197
184	271	1197
185	273	1196
186	274	1194
187	276	1194
188	278	1193
189	279	1193
190	281	1191
191	282	1189
192	284	1188
193	285	1187
194	287	1187
195	289	1186
196	290	1185
197	292	1184
198	293	1183
199	295	1181
200	296	1180
201	298	1179
202	300	1178
203	301	1176
204	303	1175
205	304	1174
206	306	1173
207	308	1172
208	309	1171
209	311	1170
210	312	1170
211	314	1168
212	315	1167
213	317	1165
214	319	1165
215	320	1164
216	322	1164
217	324	1163
218	326	1162
219	327	1161
220	329	1160
221	330	1159
222	332	1158
223	334	1157
224	335	1156
225	337	1155
226	339	1155
227	341	1154
228	342	1153
229	344	1152
230	345	1151
231	347	1150
232	349	1149
233	350	1148
